shift,pair_00,pair_01,pair_02,pair_03,pair_04,pair_05,pair_06,pair_07,pair_08,pair_09,pair_10
97,214.59970098733902,219.61908280849457,216.99435710906982,215.89097386598587,213.9748374223709,216.8331748843193,217.7863334417343,213.74381637573242,214.26601648330688,215.6460702419281,216.43753856420517
98,214.57874536514282,219.6113881468773,216.99180978536606,215.8927434682846,213.98198068141937,216.82046127319336,217.79102337360382,213.7304534316063,214.2802975177765,215.65348666906357,216.44662672281265
99,214.5629327893257,219.60040473937988,216.9950607419014,215.8935598731041,213.98877161741257,216.81173384189606,217.7971328496933,213.72323262691498,214.29554611444473,215.66294932365417,216.45844542980194
100,214.55355489253998,219.58656311035156,217.00416153669357,215.89241075515747,213.99527710676193,216.80650800466537,217.80348867177963,213.7210710644722,214.3113409280777,215.67322665452957,216.47333800792694
101,214.55128687620163,219.5703912973404,217.01762807369232,215.8877847790718,214.00135254859924,216.8037430047989,217.80906516313553,213.72356748580933,214.32638543844223,215.68396776914597,216.49130445718765
102,214.5561442375183,219.55258280038834,217.03471100330353,215.87845504283905,214.00612497329712,216.8026230931282,217.813030064106,213.73063641786575,214.33865362405777,215.69524002075195,216.51142686605453
103,214.5679008960724,219.53373730182648,217.05475836992264,215.86438703536987,214.00924843549728,216.8026421070099,217.81469523906708,213.74181926250458,214.34621959924698,215.7064843773842,216.5324143767357
104,214.58596241474152,219.51438122987747,217.0768996477127,215.8452495932579,214.01059889793396,216.8039093017578,217.81341844797134,213.75625336170197,214.34742963314056,215.71674418449402,216.5533508658409
105,214.6095918416977,219.49486011266708,217.10044085979462,215.82175040245056,214.0096784234047,216.80724614858627,217.80827176570892,213.77245515584946,214.34079504013062,215.72495901584625,216.57275342941284
106,214.63745492696762,219.47564554214478,217.12449043989182,215.79619604349136,214.0040939450264,216.81323117017746,217.79857069253922,213.78802865743637,214.3251577615738,215.7299948334694,216.58838456869125
107,214.66801244020462,219.45720654726028,217.14780753850937,215.7701610326767,213.99257731437683,216.82225489616394,217.78504276275635,213.80132406949997,214.30026614665985,215.7310854792595,216.59797686338425
108,214.69919669628143,219.43985575437546,217.1694306731224,215.74530774354935,213.97449445724487,216.83394622802734,217.76898401975632,213.81117635965347,214.2668628692627,215.72757184505463,216.60000693798065
109,214.72888737916946,219.42317521572113,217.1891589164734,215.7232939004898,213.94992434978485,216.84693849086761,217.75141495466232,213.8166708946228,214.22697776556015,215.71883499622345,216.59436386823654
110,214.75464534759521,219.40665876865387,217.2067421078682,215.7043108344078,213.9195374250412,216.8594719171524,217.73297184705734,213.8168008327484,214.18311613798141,215.70561546087265,216.5814352631569
