shift,pair_00,pair_01,pair_02
27,217.23215872049332,216.2035561800003,218.60456138849258
28,217.1935167312622,216.22374814748764,218.5853167772293
29,217.15518736839294,216.24214553833008,218.56436216831207
30,217.11741518974304,216.25839978456497,218.5424181818962
31,217.08053719997406,216.27246421575546,218.5201244354248
32,217.04518485069275,216.28444308042526,218.49814981222153
33,217.01229804754257,216.294402718544,218.47698390483856
34,216.9829449057579,216.3023744225502,218.45696699619293
35,216.95810681581497,216.30848360061646,218.43843793869019
36,216.93876141309738,216.31301128864288,218.42185825109482
37,216.9255811572075,216.31633013486862,218.4076731801033
38,216.9187844991684,216.31891590356827,218.39652156829834
39,216.9182107448578,216.321218252182,218.3888927102089
40,216.92303907871246,216.32346618175507,218.38535004854202
41,216.93184280395508,216.3256334066391,218.3866838812828
42,216.94298827648163,216.32743990421295,218.39363312721252
43,216.9552425146103,216.32821536064148,218.40662735700607
44,216.96739608049393,216.32725912332535,218.42577505111694
45,216.97852593660355,216.32415187358856,218.45076322555542
46,216.98812526464462,216.3183645606041,218.48083698749542
47,216.99575299024582,216.3096420764923,218.5149627327919
48,217.00127774477005,216.29808229207993,218.5515637397766
49,217.00485521554947,216.28424179553986,218.58868449926376
50,217.00667303800583,216.26891374588013,218.62442100048065
51,217.00656765699387,216.2530096769333,218.65704423189163
52,217.00455451011658,216.23719465732574,218.68525612354279
53,217.00027441978455,216.22185736894608,218.70827680826187
54,216.99373733997345,216.2077680826187,218.7256286740303
55,216.9851844906807,216.1954111456871,218.73735517263412
56,216.97494703531265,216.1848493218422,218.74381524324417
57,216.96392732858658,216.17601162195206,218.7451805472374
58,216.95329266786575,216.16887617111206,218.7419690489769
59,216.94399052858353,216.16332983970642,218.73509538173676
60,216.93679422140121,216.15902262926102,218.72551637887955
61,216.9325100183487,216.15566045045853,218.71430730819702
62,216.93173104524612,216.15289133787155,218.7023606300354
63,216.9347509741783,216.15054672956467,218.69073593616486
64,216.94161558151245,216.14865732192993,218.68031978607178
65,216.95189899206161,216.14728885889053,218.67167234420776
66,216.96472090482712,216.14647603034973,218.66483414173126
67,216.97866648435593,216.1459892988205,218.65955990552902
68,216.99198180437088,216.14572608470917,218.65532422065735
69,217.00279992818832,216.14581578969955,218.65137439966202
70,217.0096514225006,216.14647674560547,218.6470209956169
71,217.01166546344757,216.14768332242966,218.64161825180054
72,217.0082973241806,216.1493597626686,218.6347336769104
73,216.99945151805878,216.15152549743652,218.62611216306686
74,216.98577350378036,216.15401285886765,218.61571449041367
75,216.96818363666534,216.15627163648605,218.6037077307701
76,216.94720822572708,216.157763838768,218.5903188586235
